,p1,p2,p3,p4,p6,p7
beeping_RDS1,3,3,5,2,3,3
cocking_gun_RDS1,3,2,2,1,2,2
fabric_crumpling_RDS1,3,2,2,1,3,2
gun_zaps_RDS1,2,3,3,1,2,2
hiss_RDS1,2,3,3,2,3,3
male_voice_d_RDS1,1,1,1,3,1,1
robot_voice_RDS1,4,3,1,3,1,1
synth_RDS1,6,4,4,4,3,4
whirring_sound_RDS1,3,3,5,1,3,2
bird_tweeting_RDS10,5,7,5,2,3,3
brass_instruments_RDS10,3,4,4,4,4,4
brushing_sound_RDS10,3,2,3,1,3,2
high_frequency_crackling_RDS10,2,7,3,1,3,3
impact_of_spaceship_landing_RDS10,7,2,3,1,2,2
male_voice_a_RDS10,1,1,1,3,1,1
roar_of_spaceship_decending_RDS10,7,3,3,1,4,2
rustling_footsteps_RDS10,3,2,2,1,2,2
scuffling_sound_RDS10,3,2,3,1,3,2
strings_RDS10,6,4,4,4,4,4
tubulence_sound_RDS10,7,3,3,1,4,3
whooshing_sound_RDS10,2,3,3,1,2,2
clink_of_glasses_RDS11,3,2,3,2,3,2
closing_door_RDS11,3,2,3,1,2,2
crowd_babble_RDS11,3,8,5,2,3,3
drums_RDS11,3,4,6,2,3,5
female_laugh_RDS11,4,1,2,3,2,1
female_voice_RDS11,1,1,1,3,1,1
guitar_RDS11,6,4,6,2,3,5
keyboard_RDS11,6,4,6,2,3,5
knock_on_door_RDS11,3,3,3,1,2,2
male_voice_a_RDS11,1,1,1,3,1,1
male_voice_answering_door_RDS11,1,1,1,3,1,3
male_voice_b_RDS11,1,1,1,3,1,1
opening_door_RDS11,3,2,3,1,2,2
pterodactyl_voice_RDS11,4,1,1,3,1,1
thor_laugh_RDS11,4,1,2,3,2,1
thor_voice_RDS11,4,1,1,3,1,1
beating_of_wings_RDS2,5,2,3,1,2,3
bird_tweeting_RDS2,5,7,5,2,3,3
birds_screeching_RDS2,5,7,5,1,3,3
crackling_sound_RDS2,3,2,3,1,2,2
cymbals_RDS2,2,4,4,4,4,4
dog_barking_RDS2,5,7,5,1,3,3
dorothys_voice_RDS2,1,6,1,3,1,1
footsteps_RDS2,3,2,2,1,3,2
harp_RDS2,6,5,4,4,4,4
monkey_grunting_RDS2,5,1,3,1,2,2
monkey_landing_RDS2,3,2,3,1,2,2
monkey_screaming_RDS2,5,3,3,1,2,1
monkey_voice_RDS2,1,1,1,3,1,1
munchkin_laugh_RDS2,4,1,1,3,1,1
munckin_voice_RDS2,4,1,1,3,1,1
synth_RDS2,6,4,4,4,4,4
throwing_sound_RDS2,3,2,3,1,2,2
whistling_sound_RDS2,2,3,3,2,4,3
whooshing_sound_RDS2,2,5,5,2,4,3
axe_impacting_wood_RDS3,3,2,2,1,2,2
bass_drum_RDS3,6,4,4,4,4,4
birds_screeching_RDS3,5,7,3,2,3,3
creaking_of_falling_tree_RDS3,3,2,3,1,2,2
dorothy_scream_RDS3,4,1,2,3,1,1
dorothys_voice_RDS3,1,6,1,3,1,1
impact_of_fallingtree_RDS3,7,2,3,1,4,2
landing_impact_RDS3,2,2,2,1,2,2
leaping_synth_sound_RDS3,6,5,4,1,4,4
lf_rumble_RDS3,2,8,4,4,3,3
lions_voice_RDS3,1,1,1,3,1,1
roar_sound_RDS3,4,1,2,1,2,1
scarecrows_voice_RDS3,4,1,1,3,1,3
shrieking_sound_RDS3,4,3,3,1,4,2
synth_pad_RDS3,6,8,4,4,4,4
tin_mans_voice_RDS3,1,1,1,3,1,1
big_zooming_sound_RDS4,6,3,3,1,4,2
breaking_glass_RDS4,3,3,3,1,3,3
commentators_voice_RDS4,1,3,1,3,3,1
explosion_RDS4,7,3,3,1,2,2
impact_of_ball_on_bat_RDS4,3,2,3,1,2,2
male_voice_a_RDS4,1,1,1,3,1,1
male_voice_b_RDS4,1,1,1,3,1,1
robot_voice_RDS4,4,3,1,3,1,1
siren_RDS4,2,3,3,1,3,3
strings_RDS4,3,4,4,4,4,4
synth_RDS4,6,8,4,4,4,4
thud_RDS4,7,2,3,1,4,2
vehicle_screeching_RDS4,2,3,3,1,3,2
zapping_of_flying_ball_RDS4,3,2,3,1,4,2
zooming_of_robots_RDS4,2,8,3,1,2,3
aunt_ems_voice_RDS5,1,1,1,3,1,1
barn_roof_collapsing_RDS5,3,3,3,1,2,2
cellar_door_opening_RDS5,3,2,2,1,2,2
clinking_sound_RDS5,3,8,3,1,2,3
dishes_clinking_RDS5,3,2,2,1,2,2
dog_barking_RDS5,5,7,3,1,2,3
door_closing_RDS5,3,2,2,1,2,2
dorothys_voice_RDS5,1,6,1,3,1,1
footsteps_RDS5,3,2,2,1,2,2
gate_rattling_RDS5,3,2,3,2,3,2
groaning_sound_RDS5,4,3,4,2,4,3
pad_synth_RDS5,6,8,4,4,4,4
rain_RDS5,3,8,5,1,3,3
thud_of_fencepost_RDS5,3,3,3,1,2,2
thudding_sound_RDS5,7,2,3,1,2,2
thunder_RDS5,7,3,5,1,4,3
uncle_henrys_voice_RDS5,1,1,1,3,1,1
whooshing_sound_RDS5,2,5,5,1,4,2
wind_whistling_RDS5,2,8,5,2,3,3
wooden_impact_RDS5,7,2,3,1,2,2
beating_of_wings_RDS6,3,2,3,1,3,2
brass_RDS6,6,4,4,4,4,4
cymbal_RDS6,2,4,4,4,4,4
dog_barking_RDS6,5,7,3,1,2,3
dorothys_voice_RDS6,1,1,1,3,1,1
glockenspiel_RDS6,2,4,4,4,4,4
humming_voice_RDS6,2,3,4,4,4,4
lf_rumble_RDS6,2,8,4,4,4,3
lions_growl_RDS6,4,3,2,1,2,1
lions_roar_RDS6,5,3,2,1,1,1
lions_voice_RDS6,1,1,1,3,1,1
monkeys_voice_RDS6,1,1,1,3,1,1
percussion_RDS6,6,4,4,4,4,4
scarecrows_voice_RDS6,1,1,1,3,1,1
screeching_sound_RDS6,5,7,3,1,3,3
tin_man_creaking_RDS6,3,2,2,1,2,2
tin_mans_voice_RDS6,1,1,1,3,1,1
whooshing_RDS6,2,3,3,1,4,2
wind_RDS6,3,8,5,1,2,3
woodwind_RDS6,6,4,4,4,4,4
birds_screeching_RDS7,5,7,3,2,3,3
clattering_of_tin_man_RDS7,3,2,2,1,3,2
creaking_of_tin_man_RDS7,3,2,2,1,3,2
dog_barking_RDS7,5,3,3,1,2,3
dorothy_scream_RDS7,4,1,2,3,1,1
dorothys_voice_RDS7,1,1,1,3,1,1
groaning_sounds_RDS7,4,7,3,2,4,3
growling_RDS7,3,3,3,1,2,1
lf_rumble_RDS7,2,8,4,4,4,3
lion_roar_RDS7,4,3,2,1,2,1
lions_voice_RDS7,1,1,1,3,1,1
scarecrow_shouting_RDS7,4,1,2,3,2,1
scarecrow_unintelligible__voice_RDS7,4,7,2,3,2,1
scarecrows_voice_RDS7,1,1,1,3,1,1
screeching_sound_RDS7,4,7,3,2,4,3
tin_man_falling_RDS7,3,7,2,1,2,2
tin_man_shouting_RDS7,4,1,2,3,2,1
tin_mans_voice_RDS7,1,1,1,3,1,1
tinman_unintelligible_voice__RDS7,4,7,2,3,2,1
computer_fizzling_RDS8,2,3,3,1,2,2
computer_music_-_fanfare_RDS8,2,3,6,1,3,5
explosion_RDS8,7,3,3,1,4,2
female_computer_voice_RDS8,4,3,1,3,2,1
footsteps_RDS8,3,2,2,1,2,2
grunting_RDS8,3,2,2,3,2,2
hissing_RDS8,2,3,3,1,3,2
impact_RDS8,7,2,2,1,2,2
male_computer_voice_RDS8,4,3,1,3,2,1
male_voice_d_RDS8,1,6,1,3,1,1
slowed_down_music_RDS8,2,3,6,1,4,5
synth_pad_RDS8,2,8,4,4,4,4
wind_RDS8,3,8,5,2,3,3
zap_RDS8,3,3,2,1,2,2
accordian_RDS9,6,5,6,1,4,5
bleeping_RDS9,2,7,5,2,3,3
can_opening_RDS9,3,2,2,2,3,2
clinking_of_glasses_RDS9,3,2,2,2,3,2
cork_popping_RDS9,3,2,3,1,2,2
fluttering_synth_sound_RDS9,2,3,3,1,4,4
footsteps_on_metal_staircase_RDS9,3,2,2,1,2,2
footsteps_RDS9,3,2,2,1,2,2
high_frequency_whirring_RDS9,2,7,3,2,4,3
male_voice_a_RDS9,1,1,1,3,1,1
male_voice_b_RDS9,1,1,1,3,1,1
male_voice_c_RDS9,1,1,1,3,1,1
pouring_of_drinks_RDS9,3,2,2,2,3,2
rattling_of_ice_bucket_RDS9,3,2,2,2,2,2
squeaking_RDS9,2,3,3,1,3,3
whooshing_sound_RDS9,2,5,3,1,4,2
